land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,crime_rate_index,property_value
221,211,4,4,1,1,1,1,12,0.51,185603
357,356,5,5,1,1,1,1,1,1.48,285419
304,264,5,5,1,1,0,1,15,3.01,252010
200,180,4,5,1,1,1,1,1,5.34,208555
344,297,6,5,1,1,1,1,20,1.26,287482
114,99,1,2,0,1,0,0,9,1.1,103316
741,692,8,6,1,1,1,1,2,1.46,655691
233,218,4,4,1,1,1,1,11,0.8,215876
124,121,1,1,1,0,0,0,6,4.74,89499
185,163,2,3,0,0,1,0,5,3.81,151323
448,383,6,4,1,1,1,1,10,0.09,366821
234,223,3,1,1,1,0,0,7,2.56,171403
276,248,4,2,1,1,1,0,18,5.47,196513
310,305,4,2,1,1,1,1,6,0.47,270816
311,270,5,4,1,1,1,0,8,3.05,254909
406,371,6,5,1,1,1,1,20,4.08,283861
368,334,6,6,1,1,1,1,13,5.09,296196
218,188,3,4,1,1,0,1,10,5.75,189434
232,214,3,3,1,1,0,1,21,4.61,184273
356,329,5,2,1,1,1,1,2,1.09,314239
276,250,5,4,1,1,1,1,9,4.86,241318
262,226,5,5,1,1,1,1,15,1.88,241104
244,220,4,4,1,1,1,1,13,1.74,212110
308,290,5,3,1,1,1,1,21,5.16,251576
305,276,4,5,1,1,0,1,4,5.22,234218
236,235,5,2,1,1,1,1,7,4.79,212364
190,165,4,3,1,1,1,1,13,2.57,184878
243,214,4,3,1,1,0,1,7,5.44,203764
142,137,1,1,0,0,0,0,18,1.29,87866
192,174,3,2,1,1,0,1,12,4.83,157987
219,190,4,4,0,1,1,0,4,5.53,180505
137,124,1,2,1,1,0,0,5,5.75,97284
359,313,5,2,1,1,1,1,9,0.79,316883
111,110,1,2,1,0,0,0,5,5.27,74014
239,220,3,3,0,1,0,1,16,3.43,174963
353,338,6,5,1,1,1,1,21,3.36,340801
260,241,5,4,0,1,1,1,17,5.2,231096
503,438,7,5,1,1,1,1,3,3.03,430523
254,244,5,4,1,1,1,1,15,3.16,220982
245,219,5,4,1,1,1,1,12,2.71,243797
336,299,5,4,1,1,1,1,20,5.03,275366
209,182,3,4,1,1,1,0,1,1.71,204144
289,250,5,5,1,1,1,0,5,3.12,251029
412,380,6,6,1,1,1,1,6,3.21,336692
426,413,6,7,1,1,1,1,10,5.7,349184
163,162,2,1,0,0,0,0,7,2.8,109854
269,243,4,2,1,1,1,1,9,4.86,237447
230,224,3,1,1,0,1,0,16,1.16,170800
144,133,1,1,0,0,0,0,19,5.33,90954
252,219,5,4,1,1,1,1,11,2.38,232066
143,142,1,1,1,0,0,0,10,1.2,97666
310,275,4,4,1,1,1,1,6,4.31,292658
295,291,5,2,1,0,1,1,19,4.77,241445
368,331,6,6,1,1,1,1,8,1.39,338804
101,96,1,1,0,0,0,0,4,1.03,80127
285,269,5,5,1,1,1,1,14,5.09,235851
140,127,1,2,1,0,0,0,10,2.04,90166
166,149,3,1,1,1,0,0,8,0.57,117435
503,477,7,4,1,1,1,1,12,5.34,435451
126,115,2,2,0,1,0,1,9,1.94,119442
711,573,8,6,1,1,1,1,21,1.3,571973
213,188,3,1,1,0,0,0,1,5.17,138123
156,152,3,1,1,0,0,1,13,1.14,142196
212,209,3,1,0,0,0,1,19,1.58,156903
199,170,3,4,1,1,0,0,9,4.53,145471
431,413,6,5,1,1,1,1,2,0.3,384235
215,190,3,1,1,1,1,0,6,2.78,196649
271,260,4,2,0,1,1,1,12,1.38,215829
124,109,1,1,1,0,0,0,14,0.55,89749
144,134,1,2,0,0,0,0,16,0.08,100634
268,258,4,5,1,1,1,0,4,3.83,222078
286,268,4,4,1,1,1,1,2,0.35,237795
138,134,2,1,0,0,0,1,17,3.76,127755
161,160,3,1,1,0,1,0,12,1.89,119799
312,298,5,3,1,1,1,1,4,2.61,280951
323,297,5,2,1,1,1,1,1,0.54,286871
250,233,4,5,1,1,0,1,22,0.1,222390
200,189,3,4,1,1,0,1,17,5.72,165674
255,235,4,2,1,1,1,1,12,1.91,223206
126,117,1,1,0,0,0,0,1,3.18,88569
201,184,3,3,0,1,0,0,4,0.58,145079
169,162,2,3,0,1,0,0,7,1.24,143693
164,159,3,1,1,0,0,0,20,1.16,163842
186,178,2,2,0,1,0,1,4,1.33,146814
356,325,5,2,1,1,1,1,1,2.42,308820
130,129,2,3,1,0,1,0,20,3.04,97558
539,532,8,8,1,1,1,1,12,4.71,427263
198,196,3,1,0,0,0,0,14,0.8,155167
296,283,4,2,1,1,1,1,12,0.81,267710
336,295,5,4,1,1,1,1,18,1.09,287443
122,122,1,2,0,0,0,0,16,3.18,81817
234,199,5,3,1,1,1,1,7,5.78,219751
265,240,5,3,1,1,1,1,14,2.23,232806
190,188,4,5,1,1,1,1,15,2.88,167133
291,274,5,3,1,1,1,1,22,0.66,246247
239,230,3,1,1,1,0,1,9,2.27,207221
310,269,5,2,1,1,1,1,13,1.33,307616
411,388,7,5,1,1,1,1,22,0.16,346824
673,664,8,9,1,1,1,1,5,1.94,559431
170,163,3,3,0,0,1,0,14,3.82,133385
310,280,4,5,1,1,1,0,12,3.2,259450
172,157,3,1,1,1,1,0,13,4.18,158872
160,154,3,4,1,1,1,0,2,3.5,131530
519,442,7,4,1,1,1,1,16,4.99,430990
277,251,4,4,0,1,1,1,21,2.03,233829
188,165,3,3,1,1,0,0,16,0.28,153127
272,238,5,4,1,1,1,1,18,4.84,236609
172,167,2,1,0,0,0,1,22,3.83,126213
106,98,1,1,1,1,0,0,16,0.9,88443
250,226,5,5,1,1,1,1,3,1.62,237947
227,206,3,3,0,1,0,1,10,5.43,196023
472,410,7,4,1,1,1,1,5,0.76,404378
238,208,3,1,0,1,0,1,16,1.75,204049
211,199,3,3,0,0,1,0,16,4.03,138650
538,530,7,4,1,1,1,1,20,3.79,405810
211,197,3,1,1,1,1,0,16,5.36,154336
168,148,2,1,0,1,0,1,13,4.54,137104
349,333,6,5,1,1,1,1,2,5.82,301620
153,151,2,3,1,0,0,1,20,4.82,116012
179,177,3,2,0,0,0,1,12,2.83,162499
290,281,4,3,1,1,1,1,9,2.37,262037
343,322,5,2,1,1,0,0,18,1.73,253516
305,274,5,2,1,1,1,1,2,4.09,275210
122,110,1,1,1,0,1,0,5,2.25,94101
138,129,2,2,0,1,0,0,13,3.36,104330
355,314,5,3,1,1,1,1,3,4.94,302169
135,135,1,1,1,0,0,0,10,5.79,91917
128,119,1,2,1,0,0,0,4,2.06,102605
325,317,5,5,1,1,1,1,19,3.16,258400
753,617,8,5,1,1,1,1,6,5.9,570266
133,121,1,2,0,0,0,0,4,4.49,100644
199,186,3,2,1,1,0,0,1,1.15,150219
197,183,3,4,1,1,0,0,1,1.31,186081
286,246,4,4,1,1,1,1,20,0.52,252378
279,261,4,4,1,1,1,1,20,2.18,225691
251,247,4,5,1,1,1,0,6,2.01,207820
265,252,4,2,1,1,1,1,14,1.83,233181
299,282,5,2,1,1,1,1,15,3.33,249093
458,452,7,5,1,1,1,1,8,5.84,386837
146,146,2,2,0,0,0,0,16,2.88,108738
179,167,3,1,1,1,0,1,7,4.95,141408
289,250,4,5,1,1,1,1,11,1.56,262797
336,298,5,5,0,1,1,1,11,4.89,328328
172,149,2,3,1,1,1,0,5,1.27,170631
180,164,2,2,0,1,0,1,17,0.46,164979
215,213,3,1,1,0,0,1,14,4.14,162640
214,185,4,4,1,1,1,1,2,4.57,202602
339,325,6,4,1,1,1,1,20,3.09,236739
287,287,4,2,1,1,1,1,5,3.7,252390
292,253,4,4,1,1,1,1,14,0.47,261923
342,309,5,3,1,1,0,1,9,3.78,332961
293,288,4,4,1,1,1,1,2,0.74,247760
206,206,4,3,1,0,0,1,18,2.75,170082
230,201,4,3,1,1,1,1,12,3.45,215228
154,150,3,3,1,0,0,0,14,1.51,111784
238,225,5,3,1,1,1,1,6,0.87,221549
403,343,6,7,1,1,1,1,9,2.07,353188
240,236,3,1,1,0,0,0,14,2.16,171692
133,127,1,1,0,1,0,0,16,1.78,102403
203,192,3,4,1,1,1,0,11,0.27,156638
128,117,2,2,0,0,0,0,18,0.06,116731
220,191,3,4,1,1,1,0,18,0.31,166460
182,165,2,2,0,0,0,0,4,5.25,123878
300,256,5,3,1,1,1,1,19,3.12,252541
191,173,4,3,0,1,1,1,3,2.26,178892
366,365,6,4,1,1,1,1,5,2.02,308111
423,389,7,8,1,1,1,1,14,5.29,334047
215,205,4,3,1,1,1,1,15,1.06,185413
110,106,1,2,0,0,0,0,3,4.49,77710
197,182,4,5,1,1,1,1,20,5.09,176250
212,181,4,4,1,1,1,0,11,4.09,167269
203,194,3,1,1,1,1,0,2,4.79,150890
141,124,2,3,0,1,1,0,21,1.12,122629
178,157,3,3,1,1,0,0,9,2.94,129521
304,300,4,5,0,0,1,1,17,2.27,256917
221,197,3,3,0,1,0,0,19,4.9,165729
217,210,3,3,1,1,1,0,16,0.89,161794
290,283,4,4,1,1,1,1,8,1.9,232787
358,346,5,4,1,1,1,1,2,0.88,314342
111,111,1,2,1,0,0,0,7,4.98,64785
240,224,3,1,1,1,0,0,6,4.28,174140
360,313,5,4,1,1,1,1,10,4.46,312486
325,315,5,2,1,1,1,1,21,3.06,269952
224,193,3,3,1,1,0,0,22,5.29,151854
237,206,5,3,1,1,1,1,17,5.65,187749
122,111,1,1,0,0,0,0,2,1.22,87484
215,211,3,3,1,0,0,1,5,5.2,171550
140,119,1,2,1,1,0,0,11,3.49,119243
227,194,4,2,0,1,1,0,7,1.31,203401
186,178,3,1,1,1,0,1,1,3.12,146941
239,225,4,2,1,1,1,0,21,3.29,184469
187,185,2,1,0,0,0,0,15,0.92,152174
186,165,3,3,0,1,0,0,9,4.87,136595
206,196,3,4,1,1,0,0,3,3.37,168363
237,210,4,4,1,1,1,1,6,5.66,225388
528,512,7,7,1,1,1,1,12,5.55,420554
261,236,4,2,1,1,1,1,3,5.16,235040
279,244,4,3,1,1,1,1,21,5.28,210409
285,283,5,3,1,1,1,1,14,0.56,249451
105,96,1,1,0,0,0,0,2,0.8,73129
174,166,3,4,1,1,1,0,4,4.08,127793
174,164,3,1,1,1,0,1,2,5.53,136419
359,354,6,5,1,1,0,1,12,3.2,296273
301,283,4,2,1,1,1,1,5,0.32,275855
126,122,1,2,1,0,0,0,20,2.6,85803
217,186,3,4,0,0,0,1,6,5.87,151699
263,248,4,4,0,1,0,1,4,5.12,228873
232,202,5,3,1,1,1,1,6,2.67,214906
657,576,8,6,1,1,1,1,6,5.18,523181
158,150,3,4,1,0,1,0,12,2.34,157876
275,259,5,4,1,1,1,1,4,3.4,236160
192,167,3,1,1,1,0,0,10,5.09,159336
255,220,4,2,1,1,1,1,6,3.75,226982
153,149,2,1,0,0,1,0,13,3.06,105247
312,310,5,3,1,1,1,1,6,3.08,293323
148,143,1,2,1,0,0,0,3,1.08,112968
207,201,3,1,0,1,0,0,16,0.77,160226
166,147,2,1,1,1,1,0,22,5.99,130327
272,238,5,5,1,1,1,1,18,5.63,234164
194,180,4,3,1,1,1,1,19,3.16,173819
309,268,4,5,1,1,1,1,8,3.9,260525
157,152,3,1,1,0,1,0,14,0.47,141145
412,364,7,5,1,1,1,1,6,1.62,357334
238,215,4,4,1,1,1,1,2,1.59,222265
465,454,6,6,1,1,1,1,12,2.11,407490
101,99,1,2,1,0,0,0,12,1.56,72995
160,145,2,2,0,1,1,0,21,1.4,132281
264,243,4,5,1,1,1,0,11,0.13,221311
126,117,1,1,1,1,0,0,4,5.99,81749
125,107,1,2,1,0,0,0,9,5.34,77617
253,244,4,4,1,1,1,1,12,0.11,212143
323,299,5,2,1,1,1,1,3,4.72,268702
178,169,3,2,0,0,1,0,15,4.09,124489
134,122,2,2,0,0,0,0,17,3.22,102144
409,382,7,4,1,1,1,1,7,1.08,355287
200,192,3,3,1,1,0,1,8,4.88,179424
211,196,4,3,1,1,1,1,6,4.68,179395
132,129,1,2,1,0,0,1,21,4.89,108920
246,210,4,2,1,1,1,0,8,1.97,211472
325,309,6,5,1,1,1,1,15,1.66,277959
199,196,3,1,1,0,1,0,19,1.66,155456
237,212,4,4,1,1,1,1,2,5.5,215137
196,190,4,5,1,1,1,0,19,0.86,150084
239,236,3,4,1,0,0,1,3,4.9,195686
270,254,5,5,1,1,1,1,20,3.28,226404
446,427,6,6,0,1,1,1,14,5.56,363538
287,257,5,2,1,1,1,1,17,0.13,249352
222,190,4,2,0,1,0,1,12,3.33,187634
116,110,1,1,0,1,0,0,17,3.84,97276
193,174,3,4,1,0,0,0,3,5.93,150978
700,623,8,8,1,1,1,1,14,5.53,575651
269,267,5,5,1,1,1,1,7,0.5,245521
532,460,7,5,1,1,1,1,12,2.7,436001
277,260,5,2,1,1,1,1,11,0.58,233220
512,512,7,6,1,1,1,1,21,3.49,403584
213,183,3,4,1,1,0,1,22,1.46,167506
299,273,4,5,1,1,1,1,22,5.57,233693
141,120,1,1,0,0,0,0,20,1.48,87808
217,194,3,1,1,0,1,0,1,3.93,179312
288,260,4,2,1,1,1,1,19,4.34,222813
180,168,2,1,1,1,0,0,12,1.54,136634
335,297,5,3,1,1,1,1,1,0.92,294798
194,190,3,4,1,0,0,0,6,0.6,139967
606,566,8,9,1,1,1,1,10,1.08,483978
152,143,3,3,1,1,0,0,2,3.21,109736
359,314,5,4,1,1,1,1,9,3.29,320441
415,354,6,5,1,1,1,1,21,3.01,357916
126,111,1,1,1,1,0,0,18,2.62,106350
141,138,1,2,0,0,0,0,18,1.72,109348
490,473,7,7,1,1,1,1,11,2.86,419141
217,185,4,3,1,1,1,1,14,2.75,192282
200,194,4,3,1,1,1,0,21,4.47,164541
213,185,4,5,1,1,1,1,11,4.53,180655
206,183,4,4,1,1,1,1,4,1.94,212961
228,208,4,5,1,1,1,0,14,1.95,194786
105,98,1,1,0,1,0,0,13,2.32,88563
280,241,4,2,1,1,1,1,2,0.57,249468
544,539,7,5,1,1,1,1,20,0.83,421143
351,300,6,4,1,1,1,1,4,1.97,306299
415,383,6,4,1,1,1,1,6,3.37,351013
133,124,2,2,1,1,0,0,7,3.36,111521
198,170,3,2,1,1,0,1,2,3.78,174045
267,259,5,3,1,1,1,1,12,4.73,233710
176,153,3,1,1,0,0,1,3,2.4,140678
266,238,4,2,0,1,1,1,13,0.09,211315
234,230,4,5,0,0,1,1,11,2.3,180371
267,260,5,5,0,1,1,1,22,0.49,242006
227,223,3,1,1,0,0,0,19,1.4,159606
247,214,4,2,1,1,1,1,22,1.32,226292
157,142,2,1,0,1,0,1,8,5.07,112508
183,183,3,3,0,0,1,0,13,4.33,132596
206,177,3,1,1,1,0,1,5,1.68,191433
252,246,4,4,0,1,1,1,11,5.66,205978
272,232,4,5,1,1,0,1,10,2.45,244398
355,345,5,3,1,1,1,0,1,0.66,287204
192,169,4,3,1,1,1,1,19,1.28,184686
101,101,1,1,1,0,0,0,13,0.19,77741
217,217,4,2,1,0,1,0,9,0.09,185908
210,210,4,5,1,1,1,1,14,0.97,180544
239,218,4,5,1,1,0,1,15,2.21,222635
187,179,3,4,0,1,0,0,7,4.65,130966
123,122,1,2,1,0,0,0,19,1.05,93587
412,381,6,5,1,1,1,1,13,4.76,370926
257,244,4,4,1,1,1,0,1,3.16,249099
318,277,5,5,1,1,1,1,7,1.99,283019
130,127,1,1,1,0,0,0,9,2.32,89849
203,185,4,5,1,1,1,1,21,3.24,188605
186,170,2,1,1,1,0,0,7,4.29,147111
205,202,3,2,0,0,0,1,13,5.23,157333
191,176,4,5,1,1,1,1,9,2.42,168840
230,199,4,5,1,1,0,1,7,2.98,198012
200,180,3,2,1,1,1,0,15,5.6,147480
161,137,3,1,0,1,1,0,13,4.75,122470
256,218,4,3,1,1,1,1,16,1.61,235458
250,239,5,3,1,1,1,1,20,4.52,239595
330,329,5,2,1,1,1,1,14,1.67,280836
284,263,4,2,1,1,0,1,7,1.8,261532
346,343,6,5,1,1,1,1,21,1.62,280232
127,122,1,1,1,0,0,0,16,0.42,99751
214,212,3,3,0,0,1,0,17,5.37,157849
153,143,2,3,0,0,0,1,20,5.42,117127
153,150,3,3,1,0,1,0,18,5.36,115231
200,178,3,2,1,1,0,1,18,5.62,143403
106,100,1,1,0,1,0,0,19,5.68,77829
213,201,4,5,1,1,1,1,19,0.49,175500
191,186,4,5,1,0,1,1,9,2.14,159816
282,243,5,3,1,1,1,1,22,5.16,244624
237,217,3,2,0,1,0,0,17,2.37,170526
287,279,4,5,1,1,1,1,12,5.05,226183
119,106,1,2,0,0,0,0,5,1.2,88061
276,276,5,4,0,1,1,1,5,3.9,231150
110,99,1,2,1,1,1,0,8,5.11,89115
527,525,7,5,1,1,1,1,19,2.97,427510
153,144,3,3,1,1,1,0,15,4.65,129197
197,182,4,2,1,1,0,1,1,4.38,178444
274,270,4,3,1,0,1,1,2,0.18,208888
156,144,2,2,0,0,0,1,8,3.17,118506
143,142,2,2,1,0,0,0,21,0.94,113519
207,201,4,3,0,1,0,1,12,0.48,192900
262,256,5,5,1,1,1,1,8,2.63,231731
267,247,4,4,1,1,1,1,2,5.5,235889
143,123,1,2,0,1,0,0,2,1.65,117190
276,261,5,5,1,1,1,1,16,5.97,229830
233,204,3,4,0,1,0,0,14,1.99,174365
282,281,5,5,1,1,1,1,8,4.61,254536
302,269,5,5,1,1,1,1,20,3.52,261409
456,424,6,5,1,1,1,1,4,0.42,389654
130,114,1,2,0,1,0,0,10,1.81,105471
183,170,2,3,0,1,1,0,15,0.12,145231
270,265,5,3,1,1,1,1,4,5.4,214657
148,133,1,2,0,1,0,0,20,3.17,110786
144,126,2,1,0,1,0,0,17,1.4,91769
270,232,5,3,1,1,1,1,11,4.69,236057
201,177,3,4,1,1,0,0,10,1.21,140992
254,234,5,3,1,1,1,1,11,3.72,225101
293,265,5,4,1,1,1,1,20,3.72,253492
259,243,4,3,1,1,1,1,1,5.89,221293
309,282,5,4,1,1,1,1,11,0.69,272968
236,202,3,2,0,0,0,0,6,3.2,179155
251,218,5,4,1,1,1,1,2,1.84,238501
270,264,5,3,1,1,0,1,3,5.84,208018
228,227,3,3,1,0,0,0,9,2.99,189498
222,211,4,4,1,1,1,1,18,1.21,185210
257,256,4,5,0,1,1,1,3,3.07,222934
352,321,5,5,1,1,1,1,7,3.58,272577
283,283,4,2,1,1,1,1,4,3.75,240156
310,293,4,3,1,1,0,1,2,3.57,262886
465,429,6,4,0,1,1,1,5,4.95,339214
156,155,2,2,1,0,1,0,21,1.79,103834
267,257,4,5,0,1,1,1,9,4.51,198016
298,259,4,2,1,1,1,1,4,2.03,277649
307,291,6,6,1,1,1,1,8,2.98,272120
331,320,5,2,1,1,1,1,11,4.07,271306
284,254,5,2,1,1,1,1,21,0.79,254019
160,157,2,2,0,0,1,0,6,4.42,110604
303,262,4,5,1,1,1,1,14,2.98,302493
312,308,5,2,1,0,1,1,19,0.7,294131
240,209,5,4,0,1,1,1,11,5.79,192655
164,156,2,1,0,1,1,0,3,4.23,116631
620,539,8,7,1,1,1,1,14,0.24,523059
135,125,1,2,0,0,0,0,22,2.67,79061
196,194,4,5,1,0,1,1,9,1.16,163432
305,281,5,4,1,1,0,1,5,4.87,265640
188,173,2,1,1,1,0,0,10,5.95,132721
307,270,5,3,0,1,0,1,15,2.78,245209
191,190,3,3,1,0,0,0,21,2.51,129645
305,304,5,5,1,0,1,1,16,1.21,266864
438,383,7,8,1,1,1,1,10,3.37,373535
140,121,2,3,0,1,1,0,7,0.1,129191
151,139,2,3,0,0,0,0,7,0.26,136169
173,157,3,3,1,1,1,0,5,4.54,150171
259,243,5,3,1,1,1,1,19,0.64,241464
589,568,7,8,1,1,1,1,10,4.72,502043
226,204,3,3,1,1,0,1,21,0.29,184749
489,467,7,5,1,1,1,1,1,3.99,397952
231,206,5,2,1,1,0,1,4,2.93,206803
292,253,4,2,1,1,1,1,18,0.47,256927
318,318,5,4,1,0,1,1,5,4.47,305962
236,205,5,5,1,1,1,1,13,0.66,217339
584,568,7,4,1,1,1,1,21,3.26,493472
211,180,3,2,1,1,0,1,2,4.34,182774
126,111,2,1,1,1,1,0,6,1.59,120516
410,400,6,4,1,1,1,1,12,2.55,343501
203,179,3,1,1,1,0,0,20,0.37,168024
192,164,4,3,1,1,1,1,4,5.27,199132
158,140,2,1,0,0,0,0,21,1.18,100781
224,219,4,4,1,0,1,1,16,5.41,197605
214,199,3,2,1,0,0,0,16,0.12,169288
209,187,3,4,1,1,1,0,1,3.84,172435
151,129,3,4,1,0,0,1,19,3.08,124037
329,286,5,2,1,1,1,1,11,2.9,295385
236,206,4,5,1,1,1,1,15,2.94,212898
324,308,5,3,1,1,1,1,19,2.7,278790
163,156,2,2,1,1,1,0,3,3.14,124120
202,196,3,1,1,0,1,0,22,2.98,132079
139,138,1,1,0,0,1,0,11,4.22,85699
133,118,2,1,1,0,1,0,19,4.4,99434
319,316,5,4,1,1,1,1,15,1.57,280151
139,122,2,2,1,1,0,0,15,4.04,105912
235,228,5,3,1,1,1,1,12,4.94,208219
694,660,8,9,1,1,1,1,8,3.63,552247
223,208,4,3,1,1,1,1,9,2.4,223269
322,313,5,3,1,1,1,1,14,3.2,264029
182,172,3,4,1,0,1,0,15,1.17,149230
304,265,6,7,1,1,1,1,18,1.46,267047
139,131,1,1,0,1,0,0,1,5.57,108227
176,155,3,3,0,1,1,0,22,2.41,138858
356,341,5,3,1,1,1,1,15,1.06,287372
167,146,2,3,0,1,0,1,18,1.87,145467
162,140,2,1,1,0,1,0,9,0.95,141758
248,241,5,5,1,1,1,1,8,2.95,222735
312,299,5,3,1,1,1,0,18,1.88,246575
166,142,2,1,0,1,1,0,3,4.13,124836
131,131,2,3,0,0,1,0,16,3.37,95398
134,123,2,2,0,0,0,0,4,3.56,77619
420,393,6,4,1,1,1,1,16,3.56,289996
260,254,4,5,1,1,1,1,4,5.02,214027
221,221,3,4,1,0,0,0,16,0.82,167457
286,267,4,2,0,1,0,1,6,2.62,241415
475,389,8,9,1,1,1,1,19,2.5,400101
239,235,4,5,0,1,0,1,1,3.98,199110
143,142,1,2,0,0,0,0,10,1.04,110697
202,182,3,3,1,0,0,0,12,4.08,134344
267,261,5,3,1,1,1,0,22,2.5,211455
233,202,3,4,1,1,0,0,10,5.26,163408
204,194,3,4,1,0,1,0,16,2.23,143950
230,227,5,4,1,1,1,1,21,2.29,191800
135,128,1,2,0,0,1,0,10,0.72,96113
191,188,4,3,0,0,1,1,1,1.13,165115
338,289,5,3,1,1,1,1,20,2.82,283455
215,184,3,3,0,1,0,1,5,3.62,181348
114,101,1,1,1,0,1,0,12,0.03,91595
225,198,3,1,1,1,0,0,14,0.96,162589
349,320,5,2,1,1,1,1,20,5.19,284644
304,275,4,2,0,1,1,0,17,0.98,243183
157,146,2,3,0,1,1,0,9,3.14,140575
349,333,5,5,1,1,1,1,20,0.19,295697
127,111,2,1,0,1,0,1,8,1.67,117479
284,276,5,3,0,1,1,1,1,2.38,265901
168,144,3,3,1,1,0,1,18,5.48,136777
249,244,4,2,1,1,1,0,14,0.24,207523
129,115,1,1,1,1,0,1,9,1.17,108001
556,462,8,8,1,1,1,1,16,2.37,456215
109,106,1,1,1,0,0,0,17,2.28,72954
219,207,3,4,1,1,0,0,1,0.86,188668
727,582,8,6,1,1,1,1,22,1.47,544796
185,175,3,2,0,0,0,0,3,5.11,143515
223,194,3,1,1,1,1,0,10,2.95,181123
109,106,1,2,0,0,0,0,7,2.7,74825
352,332,5,2,1,1,1,1,6,3.41,306729
251,240,4,3,1,1,1,0,17,4.19,212986
243,209,4,2,1,1,0,1,16,3.42,204524
237,214,5,2,1,1,1,1,22,3.88,214328
229,205,3,3,0,1,0,0,5,0.11,168871
213,213,3,4,1,0,1,0,17,4.29,129574
186,165,2,1,0,1,0,0,9,4.08,154330
228,203,4,5,1,1,1,1,2,3.95,203551
460,410,6,4,1,1,1,1,13,2.85,381628
261,227,4,4,0,1,0,1,10,1.5,205156
194,168,3,2,1,0,0,1,17,5.06,136845
180,154,3,4,1,0,0,0,21,3.12,138425
229,215,4,3,1,1,0,1,15,2.51,165056
206,195,3,1,0,0,1,0,13,5.58,147900
117,103,1,2,0,1,0,0,14,3.88,86029
136,134,1,2,0,0,1,0,3,3.53,86536
185,165,3,4,1,1,0,1,3,3.51,181359
210,187,3,4,1,0,1,0,1,2.62,154769
289,272,4,4,0,1,1,1,9,0.19,250807
282,248,4,2,1,1,1,1,22,0.47,252996
232,218,5,2,1,1,1,1,10,3.23,207751
242,229,4,3,1,1,1,1,9,5.07,218376
143,133,1,1,1,1,0,0,3,3.92,101359
258,234,5,3,1,1,1,1,3,0.82,251966
245,218,4,5,0,1,1,1,3,0.03,221809
260,259,4,2,0,0,1,1,4,1.5,235414
280,258,4,5,1,1,1,1,13,0.17,215958
441,418,7,7,1,1,1,1,9,2.38,360620
159,150,3,3,1,1,0,0,14,0.71,132650
170,159,2,2,1,1,0,0,14,1.62,116094
166,165,3,2,0,0,1,0,9,1.15,135121
234,216,4,5,1,1,1,1,9,1.3,235994
279,262,5,3,1,1,1,1,4,5.55,250035
472,441,7,5,1,1,1,1,18,4.4,368908
177,158,3,3,1,1,1,0,1,0.96,167456
299,299,4,5,1,1,1,1,1,5.4,249982
273,238,4,3,1,1,0,1,18,0.22,230640
298,265,4,5,1,1,0,1,7,2.45,262747
269,242,4,3,1,1,1,1,10,1.01,248675
346,308,6,6,1,1,1,1,13,5.62,286186
179,167,3,1,1,1,0,0,5,3.41,171863
175,172,3,4,1,0,1,0,11,2.06,127735
151,129,2,2,0,1,0,0,3,5.71,105893
305,282,4,3,1,1,1,1,1,0.24,243974
264,253,4,2,1,1,1,1,15,3.09,241054
209,184,4,2,1,1,1,1,8,4.44,186510
264,225,5,4,1,1,1,0,6,4.8,212131
192,188,4,4,1,1,0,0,4,3.92,142937
218,190,4,3,1,1,1,1,20,2.67,194863
328,289,5,2,1,1,1,1,9,0.93,297371
360,360,5,2,1,0,1,1,18,1.69,290591
276,267,5,4,1,1,1,1,4,0.36,303787
418,381,7,6,1,1,1,1,21,5.8,337667
303,291,4,3,1,1,1,1,19,4.57,250905
126,122,2,2,0,0,0,0,8,5.25,77452
204,203,3,4,0,0,1,0,20,3.11,132657
264,254,4,2,0,1,1,0,22,1.28,207868
376,350,6,4,1,1,1,1,22,4.92,303214
166,144,2,1,0,0,1,0,21,4.41,128443
199,189,3,2,1,1,0,0,8,1.26,160488
182,162,3,4,0,1,0,0,21,4.93,138261
304,273,5,2,1,1,1,1,15,2.94,277280
210,202,4,2,1,1,1,1,22,2.69,155156
292,288,5,5,1,1,1,1,2,0.74,281493
150,138,1,1,0,1,1,0,10,4.81,134245
344,295,5,4,1,1,1,1,19,4.07,279774
243,238,4,5,1,0,1,1,19,3.36,171746
256,239,4,4,0,1,1,0,18,5.43,204618
124,109,2,3,0,1,0,0,15,3.67,79158
253,234,4,4,1,1,0,1,11,5.09,210848
276,276,4,2,1,1,1,0,16,4.38,218119
275,263,5,5,1,1,1,1,11,4.94,228265
121,113,1,2,0,1,0,0,1,0.5,92670
207,187,3,3,1,1,1,0,12,4.84,162174
326,288,5,5,1,1,1,1,9,0.95,297141
431,387,7,8,1,1,1,1,20,2.85,378182
112,104,1,1,1,0,0,0,7,1.92,69492
272,254,5,3,1,1,1,1,8,4.1,238963
235,217,5,3,1,1,1,1,10,0.69,218468
308,296,4,4,1,1,1,1,19,5.38,244402
139,135,2,2,1,0,0,0,1,4.46,86294
319,290,5,4,1,1,1,0,12,2.55,228836
333,291,5,5,0,1,1,1,14,4.09,271829
181,177,2,2,0,0,0,0,16,0.45,126911
212,182,4,4,1,1,1,0,19,5.54,172691
181,168,3,3,1,0,0,0,21,1.78,134748
104,104,1,1,0,0,0,1,7,1.59,95378
243,228,4,3,1,1,1,1,20,2.65,213459
